Polish,English
to,this
się,myself
na,on
co,What
że,that
jest,is
do,down
tak,Yes
mnie,me
ale,but
mi,to me
za,behind
ja,I
ci,these
tu,here
go,him
tego,this
tym,this
ty,you
czy,if
tylko,just
po,after
jestem,I am
cię,you
ma,has
może,maybe
już,already
mam,I have
jesteś,you are
pan,Mr
coś,something
dla,for
wiem,I know
dobrze,Okay
jeśli,if
od,from
teraz,now
proszę,please
tam,over there
wszystko,all
masz,you have
więc,so
być,to be
będzie,will be
gdzie,where
są,are
on,he
mogę,I can
ten,this
ciebie,you
sobie,herself
wiesz,you know
ze,with
bardzo,very
jej,her
kiedy,when
był,was
nas,us
chcę,want
mój,my
było,was
no,yeah
przez,by
by,so
pani,you
ją,I
jego,his
ich,their
chcesz,you want
żeby,in order to
tutaj,here
też,also
bo,because
dobra,Okay
przepraszam,sorry
mu,him
naprawdę,really
możesz,you can
chyba,I guess
porządku,order
dziękuję,thank you
muszę,I have to
panie,ladies
ona,she
domu,house
nawet,even
gdy,when
prawda,true
te,these
nam,us
